system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7203T0001,DEPALETTISEUR,B7203T0001-S037,3,B7203T0001-S005,2.0,CORR,ELKS_UAP2,2023-01-09,2023-06-01,2023-01-09,714.7454393516666,2023_CORRECTIF
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,B7214T0008-RS-PS-20,4,B7214T0008-RS-PS,3.0,CORR,LLK,2023-01-09,2023-04-08,2023-01-09,0.0,2023_CORRECTIF
B7216T8002,REMPLISSEUSE SF SELECT 140/15C,B7216T8002,1,,,CORR,ELKS_UAP1,2023-01-09,2023-06-01,2023-01-09,160.95365296666668,2023_CORRECTIF
B7216T8002,REMPLISSEUSE SF SELECT 140/15C,B7216T8002,1,,,CORR,ELKS_UAP1,2023-01-09,2023-06-01,2023-01-09,482.8609589,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-09,2023-06-01,2023-01-09,167.271938,2023_CORRECTIF
B7252T0032,ETIQUETEUSE,B7252T0032,1,,,CORR,ELKS_UAP2,2023-01-09,2023-06-01,2023-01-09,66562.09273493895,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200,1,,,CORR,ELKS_UAP2,2023-01-09,2023-06-01,2023-01-09,89.29054403999999,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200,1,,,CORR,ELKS_UAP2,2023-01-09,2023-06-01,2023-01-09,74.4087867,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200-S003,2,B7270T0200,1.0,CORR,ELKS_UAP2,2023-01-09,2023-06-01,2023-01-09,11821.716126377052,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200,1,,,CORR,ELKS_UAP2,2023-01-09,2023-06-01,2023-01-10,309.41356563333335,2023_CORRECTIF
B7274T0001,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS,B7274T0001-CIRPNE,2,B7274T0001,1.0,CORR,LLK,2023-01-09,2023-04-08,2023-01-09,38.166666666666664,2023_CORRECTIF
B7286T0023,BANDEROLEUSE SEMI AUTOMATIQUE,B7286T0023,1,,,CORR,ELKS_UAP1,2023-01-09,2023-06-01,2023-01-09,303.70166666666665,2023_CORRECTIF
LLK-AC-1850C,Compresseur 40 bars TEMPO 1850 C,LLK-AC-1850C-ARMELE,2,LLK-AC-1850C,1.0,CORR,LLK,2023-01-09,2023-04-08,2023-01-11,812.0,2023_CORRECTIF
B6225T0001-S001,CUVERIE EXTERIEUR,B6225T0001-S099,2,B6225T0001-S001,1.0,CORR,ELKS_UAP2,2023-01-10,2023-06-01,2023-01-12,202376.83802146473,2023_CORRECTIF
B6225T0003-S006,TAMISEUR(SDA),B6225T0003-S065,2,B6225T0003-S006,1.0,CORR,ELKS_UAP2,2023-01-10,2023-06-01,2023-01-10,223755.93194308053,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200,1,,,CORR,ELKS_UAP2,2023-01-10,2023-06-01,2023-01-10,322.4380757,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200,1,,,CORR,ELKS_UAP2,2023-01-10,2023-06-01,2023-01-10,1279.636286003351,2023_CORRECTIF
