EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
B7266T0001,DEPOUSSIERAGE ENSACHAGE A1029,1,,B7266T0001,2012-08-01,NORMAL,B7266,BS1,BS1-SILOM,SUCRE-D-RAFS
B4688R0202-A005,VANNE REGULATRICE DE SOUTIRAGE DE SIROP DU E560 VERS T610 LV561,2,B4688R2000-A009,B4688R2000-A009,2012-08-01,NORMAL,B4601,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0202-A007,VANNE REGULATRICE DE LA PRESSION DU SIROP VERS E540 PV530,2,B4688R2000-A009,B4688R2000-A009,2012-08-01,NORMAL,B4601,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0206-A004,VANNE REGULATRICE  D'ALIMENTATION DE LA VAPEUR VERS E540 PV560,2,B4688R2000-A009,B4688R2000-A009,2012-08-01,NORMAL,B4601,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0202-A008,VANNE REGULATRICE DU VIDE DE E560 PV561,2,B4688R2000-A009,B4688R2000-A009,2012-08-01,NORMAL,B4601,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0202-A009,VANNE REGULATRICE DE L'ALIMENTATION DE LA VAPEUR VERS E530 TV530,2,B4688R2000-A009,B4688R2000-A009,2012-08-01,NORMAL,B4601,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R2000-A010,VANNE TOR,1,,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0006-A011,VANNE TOR DE BY PASS DU  T500  XV500-04,2,B4688R2000-A010,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0006-A012,VANNE TOR D'ALIMENTION DE T500  DE LA SECTION4 XV500-05,2,B4688R2000-A010,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0301-A001,VANNE TOR BY PASS DU T500 VERS T610 XV520-3,2,B4688R2000-A010,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
