WOWO_SYSTEM_EQUIPMENT,WOWO_EQUIPMENT_DESCRIPTION,WOWO_DECLARATION_DATE,WOWO_END_DATE,WOWO_CREATION_DATE,WOWO_JOB_TYPE,WOWO_EQUIPMENT_LEVEL,WOWO_EQUIPMENT,maintenance_parent_code,maintenance_parent_level,WOWO_JOB_CLASS,WOWO_TOTAL_COST,source,label_quality,WOWO_ACTION_ENTITY
B3624T1200,POMPE HAUTE PRESSION,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3624T1200,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B3668R5101,COMPRESSEUR N°03,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3668R5101,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3668R6500,COMPRESSEUR ABC,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3668R6500,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3668T8004,COMPRESSEUR N°01,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3668T8004,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3668T8005,COMPRESSEUR N°02,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3668T8005,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3669T8002,COMPRESSEUR BP,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3669T8002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3677R0213,SECHEUR PAR ABSORBTION ULTRA ECONOMIQUE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3677R0213,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3677R0302-J01,SECHEUR D'AIR N°01,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3677R0302-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3677R0302-J02,SECHEUR D'AIR N°02,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3677R0302-J02,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3677T0300-J01,SECHEUR D'AIR N°03,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3677T0300-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3677T8002,SECHEUR D'AIR BP,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3677T8002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3679R0201,SURPRESSEUR  ROBOX,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3679R0201,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B3688T0014,GENERATEUR D 'AZOTE TORNADO N°2,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3688T0014,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3688T0015,GENERATEUR D 'AZOTE TORNADO N°3,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3688T0015,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3688T0016,GENERATEUR D 'AZOTE TORNADO N°1,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3688T0016,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3970T0229,ARMOIRE DE COMMANDE CHAUDIERES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0229,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3970T0230,ARMOIRE DE COMMANDE POMPES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0230,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3970T0250,ARMOIRE ELECTRIQUE HOMOGENEISATEUR PET,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0250,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B3970T0251,ARMOIRE ELECTRIQUE 2,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0251,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B3970T0270,ARMOIRE DE COMMANDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0270,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B3970T0274,ARMOIRE DE COMMANDE POMPES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0274,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3970T0277,ARMOIRE DE COMMANDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0277,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B3970T0303,ARMOIRES ELECTRIQUES CONVOYEURS BOUTEILLE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0303,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B3970T0304,ARMOIRES ELECTRIQUES CONVOYEURS FARDEAUX,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3970T0304,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B3972E5099-J01,POSTE MT-BT1,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3972E5099-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3972E5099-J02,POSTE MT 2,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3972E5099-J02,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B3972E5099-J03,POSTE MT-BT3,2023-06-07,2023-06-25,2023-06-07,PREV,1,B3972E5099-J03,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B4600T0001-J01,VANNERIES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B4600T0001-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B4600T0003-J03,ACCESSOIRES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B4600T0003-J03,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B4600T0004-J01,VANNERIES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B4600T0004-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B4600T0006-J01,ACCESSOIRES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B4600T0006-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B4600T0007-J02,ARMOIRE DE COMMANDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B4600T0007-J02,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6210T8001,RAFFINEUSE COMPLETE 60T,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6210T8001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6220T0001,VMC  A(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B6220T0001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6220T0002,VMC  B(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B6220T0002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S001,CUVERIE EXTERIEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S002,CUVES MATURATION,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S003,CUVES TAMPON,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S003,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S011,GROUPE MOTOPOMPE VINAIGRE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S011,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S012,CUVE  ET INSTRUMENTATION,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S012,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S020,CUVE NEP 5X4000L(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S020,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S021,GROUPE POMPE CIP,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S021,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S022,POSTE DE COMMANDE Eau/Désinfectant,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S022,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S023,GROUPE PRECHAUFFEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S023,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S024,GROUPE POMPE DOSAGE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S024,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S025,GROUPE COFFRET,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S025,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S030,GROUPE ARMOIRES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S030,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0001-S031,CLIMATISATION ARMOIRES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0001-S031,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S001,UNITE DE DESAERATION MOUTARDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S002,SKID DE REFROIDISSEMENT MOUTARDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S003,BROYAGE MOUTARDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S003,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S004,PREPARATION MOUTARDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S004,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S005,STOCKAGE PRIMAIRE MOUTARDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S005,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S006,TAMISEUR(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S006,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0003-S007,GROUPE ACCESSOIRES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0003-S007,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6225T0005,APLATISSEUR POTENTIEL POUR GRAINES DE MOUTARDE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6225T0005,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6235T8001,MIXER MAS MIX 60/60,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6235T8001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6240T0002,PRECHAUFFEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6240T0002,,,PREVEN,438563.8235792174,2023_PREVENTIF,HIGH,ELKS_UAP1
B6240T0003,CHAUFFAGE BOUTEILLES PROMEC AVANT SOUTIREUSE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B6240T0003,,,PREVEN,74.4087867,2023_PREVENTIF,HIGH,ELKS_UAP2
B6244T8001,BOULE DE CUISSON 1,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6244T8001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6244T8002,BOULE DE CUISSON 2,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6244T8002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6315T0002,HOMOGENEISATEUR 1,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6315T0002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6315T0003,HOMOGENEISATEUR 2,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6315T0003,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B6518T0002,RAFFINEUSE(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B6518T0002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6562T8001,CONDENSATEUR SEMI-AUTOMATIQUE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B6562T8001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B6574T0001,SECHEUR LINADRY,2023-06-07,2023-11-12,2023-06-07,PREV,1,B6574T0001,,,PREVEN,148.8175734,2023_PREVENTIF,HIGH,ELKS_UAP2
B7101T0127-J01,SYSTEME DE TRAITEMENT SUCRE LIQUIDE (UV),2023-06-07,2023-06-25,2023-06-07,PREV,1,B7101T0127-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7101T0128,CHÂTEAU D'EAU BRUTE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7101T0128,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7101T8001,BAC STOCKAGE SIROP,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7101T8001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7101T8006,RESERVOIRE COLLECTEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7101T8006,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7103T0291,BAC FORMULATION,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7103T0291,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7103T0338,BAC CUISSEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7103T0338,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7103T0339,BAC DESHAIRATEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7103T0339,,,PREVEN,4500.591384072461,2023_PREVENTIF,HIGH,ELKS_UAP1
B7105T8012,RECIPIENT COLLECTEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7105T8012,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7109R0005-J01,BALLON DE STOKAGE D'AIR N°01,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7109R0005-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B7109R0005-J02,BALLON DE STOKAGE D'AIR N°02,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7109R0005-J02,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B7109R0201-J01,BALLON DE STOKAGE D'AIR BP,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7109R0201-J01,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_DM_UT
B7202T8002,DECAISSEUSE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7202T8002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7203R0001,CONVOYEURS PALETTES 'DEBALLAGE',2023-06-07,2023-06-25,2023-06-07,PREV,1,B7203R0001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7203T0001,DEPALETTISEUR,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7203T0001,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7204T0002,REDRESSEUR DE BOUTEILLES LANFRANCHI,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7204T0002,,,PREVEN,79.36937248,2023_PREVENTIF,HIGH,ELKS_UAP2
B7210T8004,LAVEUSE BOUTEILLES(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B7210T8004,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7210T8005,LAVEUSE CASIERS BOUTEILLES KRONES,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7210T8005,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2023-06-07,2023-06-07,2023-06-07,CORR,3,B7214T0010-TRANSF-TP,B7214T0010-TRANSF,2.0,MECA,5027.41156652618,2023_CORRECTIF,HIGH,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2023-06-07,2023-07-02,2023-06-07,PREV,2,B7214T0010-TRANSF,B7214T0010,1.0,PREVEN,511.43333333333334,2023_PREVENTIF,HIGH,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2023-06-07,2023-07-02,2023-06-07,PREV,2,B7214T0010-RS,B7214T0010,1.0,PREVEN,11029.647905274198,2023_PREVENTIF,HIGH,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2023-06-07,2023-07-02,2023-06-07,PREV,2,B7214T0010-FOURIR,B7214T0010,1.0,PREVEN,0.0,2023_PREVENTIF,HIGH,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2023-06-07,2023-06-15,2023-06-07,PREV,2,B7214T0010-ALPREF,B7214T0010,1.0,PREVEN,515.25,2023_PREVENTIF,HIGH,LLK
B7214T0013,SOUFFLEUSE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7214T0013,,,PREVEN,501799.13720319764,2023_PREVENTIF,HIGH,ELKS_UAP2
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-06-07,2023-06-07,2023-06-07,CORR,1,B7214T8001,,,MECA,2903.9891958956377,2023_CORRECTIF,HIGH,ELKS_UAP1
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-06-07,2023-06-14,2023-06-07,PREV,1,B7214T8001,,,PREVEN,18058.47064364583,2023_PREVENTIF,HIGH,ELKS_UAP1
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-06-07,2023-06-25,2023-06-07,PREV,2,B7214T8001-J04,B7214T8001,1.0,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,2023-06-07,2023-06-07,2023-06-07,CORR,2,B7216T0012-BOUCHEUSE,B7216T0012,1.0,MECA,896.75,2023_CORRECTIF,HIGH,LLK
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,2023-06-07,2023-06-08,2023-06-10,CORR,2,B7216T0012-BOUCHEUSE,B7216T0012,1.0,MECA,508.6666666666667,2023_CORRECTIF,HIGH,LLK
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,2023-06-07,2023-06-07,2023-06-08,CORR,2,B7216T0012-BOUCHEUSE,B7216T0012,1.0,MECA,4530.166666666667,2023_CORRECTIF,HIGH,LLK
B7216T0013,REMPLISSEUSE Combi SF SELECT BV 140/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,2023-06-07,2023-07-02,2023-06-07,PREV,1,B7216T0013,,,PREVEN,0.0,2023_PREVENTIF,HIGH,LLK
B7216T8002,REMPLISSEUSE SF SELECT 140/15C,2023-06-07,2023-06-14,2023-06-07,PREV,1,B7216T8002,,,PREVEN,2207.8225926,2023_PREVENTIF,HIGH,ELKS_UAP1
B7217T0001,SOUTIREUSE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7217T0001,,,PREVEN,496.058578,2023_PREVENTIF,HIGH,ELKS_UAP2
B7217T0002,SOUTIREUSE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7217T0002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7218T0001,RINCEUSE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7218T0001,,,PREVEN,104.17230138,2023_PREVENTIF,HIGH,ELKS_UAP2
B7220T8001,MONOBLOC,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7220T8001,,,PREVEN,3346.5,2023_PREVENTIF,HIGH,ELKS_UAP1
B7222T0001,REMPLISSEUSE SEMI-AUTOMATIQUE(SEAUX),2023-06-07,2023-06-07,2023-06-07,CORR,1,B7222T0001,,,MECA,415.54967404166666,2023_CORRECTIF,HIGH,ELKS_UAP2
B7222T8003,ROBOT DE CONDIT - ENCAISSEUSE -,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7222T8003,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7223T0001,BOUCHEUSE UNIMAC-GHERRI(SDA),2023-06-07,2023-11-12,2023-06-07,PREV,1,B7223T0001,,,PREVEN,148.8175734,2023_PREVENTIF,HIGH,ELKS_UAP2
B7224T8003,LINGE DE TRANSFERT DE BOITES 1/2 ET 4/4,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7224T8003,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7224T8004,APPAREIL DOSAGE VELCORIN(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B7224T8004,,,PREVEN,8805.45225470079,2023_PREVENTIF,HIGH,ELKS_UAP1
B7228T0076,LIGNE DE PREPARATION JUS,2023-06-07,2023-06-17,2023-06-07,PREV,2,B7260T8006,B7228T0076,1.0,PREVEN,9473.464804625,2023_PREVENTIF,HIGH,ELKS_UAP1
B7230T0002,SOUDEUSE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7230T0002,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7247T8002,REMPLISSEUSE ASEPTIQUE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7247T8002,,,PREVEN,89948.65871432489,2023_PREVENTIF,HIGH,ELKS_UAP1
B7250T0004,SECHEUR SONIC 150,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7250T0004,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7252T0029,ETIQUETEUSE OPERA 300 SACMI,2023-06-07,2023-07-05,2023-06-07,PREV,2,B7252T0029-TRANSM,B7252T0029,1.0,PREVEN,0.0,2023_PREVENTIF,HIGH,LLK
B7252T0029,ETIQUETEUSE OPERA 300 SACMI,2023-06-07,2023-07-05,2023-06-07,PREV,1,B7252T0029,,,PREVEN,25229.55885506749,2023_PREVENTIF,HIGH,LLK
B7252T0029,ETIQUETEUSE OPERA 300 SACMI,2023-06-07,2023-07-05,2023-06-07,PREV,2,B7252T0029-GRETIQ,B7252T0029,1.0,PREVEN,176.5,2023_PREVENTIF,HIGH,LLK
B7252T0029,ETIQUETEUSE OPERA 300 SACMI,2023-06-07,2023-07-05,2023-06-07,PREV,2,B7252T0029-STINFE,B7252T0029,1.0,PREVEN,176.5,2023_PREVENTIF,HIGH,LLK
B7252T0031,CONTRÔLE ETIQUETTES FT SYSTEM,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7252T0031,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7252T0032,ETIQUETEUSE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7252T0032,,,PREVEN,198.4234312,2023_PREVENTIF,HIGH,ELKS_UAP2
B7252T0033,ETIQUETEUSE FARDEAUX LOGOPACK,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7252T0033,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7252T0033-J01,SYSTEME DETECTION BARQUETTE INCOMPLETTE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7252T0033-J01,,,PREVEN,49.6058578,2023_PREVENTIF,HIGH,ELKS_UAP2
B7252T0034,ETIQUETEUSE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7252T0034,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7252T0035,ETIQUETEUSE FARDEAUX LOGOPACK,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7252T0035,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7252T8003,ETIQUETEUSE DE BOUTEILLES  25 CL,2023-06-07,2023-06-07,2023-06-14,CORR,1,B7252T8003,,,ELEC,408.62528123333334,2023_CORRECTIF,HIGH,ELKS_UAP1
B7252T8003,ETIQUETEUSE DE BOUTEILLES  25 CL,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7252T8003,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7252T8005,ETIQUETEUSE SACMI OPERA 300,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7252T8005,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7254T0103,DATEUR LASER D320I,2023-06-07,2023-06-15,2023-06-07,PREV,1,B7254T0103,,,PREVEN,146.746502815,2023_PREVENTIF,HIGH,ELKS_UAP1
B7254T0140,DATEUR INDUSTRIEL A JET D ENCRE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7254T0140,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7254T0141,DATEUR INDUSTRIEL A JET D ENCRE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7254T0141,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP1
B7254T0173,DATEUR INDUSTRIEL A JET D ENCRE AX350I,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7254T0173,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7254T0174,DATEUR INDUSTRIEL A JET D ENCRE AX350I,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7254T0174,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7258T0007,CHECKMAT SORTIE ETIQUETEUSE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7258T0007,,,PREVEN,44.64527202,2023_PREVENTIF,HIGH,ELKS_UAP2
B7258T0008,CHECKMAT SORTIE SOUTIREUSE,2023-06-07,2023-11-12,2023-06-07,PREV,1,B7258T0008,,,PREVEN,148.8175734,2023_PREVENTIF,HIGH,ELKS_UAP2
B7258T0009,INSPECTRICE DE BOCAL EBI(SDA),2023-06-07,2023-11-12,2023-06-07,PREV,1,B7258T0009,,,PREVEN,104.17230138,2023_PREVENTIF,HIGH,ELKS_UAP2
B7258T0010,INSPECTRICE METTLER-TOLEDO'RAYON X'(SDA),2023-06-07,2023-11-12,2023-06-07,PREV,1,B7258T0010,,,PREVEN,74.4087867,2023_PREVENTIF,HIGH,ELKS_UAP2
B7258T0012,CHECKMAT SORTIE ETIQUETEUSE,2023-06-07,2023-06-25,2023-06-07,PREV,1,B7258T0012,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
B7258T0013,INSPECTRICE METTLER-TOLEDO'RAYON X'(SDA),2023-06-07,2023-06-25,2023-06-07,PREV,1,B7258T0013,,,PREVEN,0.0,2023_PREVENTIF,HIGH,ELKS_UAP2
