WOWO_SYSTEM_EQUIPMENT,WOWO_EQUIPMENT_DESCRIPTION,WOWO_DECLARATION_DATE,WOWO_END_DATE,WOWO_CREATION_DATE,WOWO_JOB_TYPE,WOWO_EQUIPMENT_LEVEL,WOWO_EQUIPMENT,maintenance_parent_code,maintenance_parent_level,WOWO_JOB_CLASS,WOWO_TOTAL_COST,source,label_quality,WOWO_ACTION_ENTITY
B6225T0001-S024,GROUPE POMPE DOSAGE,2024-04-29,,2024-04-29,PREV,,,,,,19.051666666666662,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0001-S025,GROUPE COFFRET,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0001-S031,CLIMATISATION ARMOIRES,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S001,UNITE DE DESAERATION MOUTARDE,2024-04-29,,2024-04-29,CORR,,,,,,879.9811207059307,2024_CORRECTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S001,UNITE DE DESAERATION MOUTARDE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S002,SKID DE REFROIDISSEMENT MOUTARDE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S003,BROYAGE MOUTARDE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S004,PREPARATION MOUTARDE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S005,STOCKAGE PRIMAIRE MOUTARDE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S006,TAMISEUR(SDA),2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0003-S007,GROUPE ACCESSOIRES,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6225T0005,APLATISSEUR POTENTIEL POUR GRAINES DE MOUTARDE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6240T0002,PRECHAUFFEUR,2024-04-29,,2024-04-29,PREV,,,,,,45.724,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B6240T0003,CHAUFFAGE BOUTEILLES PROMEC AVANT SOUTIREUSE,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6244T8001,BOULE DE CUISSON 1,2024-04-29,,2024-04-29,PREV,,,,,,60.96533333333333,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B6244T8002,BOULE DE CUISSON 2,2024-04-29,,2024-04-29,PREV,,,,,,60.96533333333333,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B6315T0002,HOMOGENEISATEUR 1,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6315T0003,HOMOGENEISATEUR 2,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B6510R0001-B001,TURBINE CONTINUE S852N,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,BS2
B6574T0001,SECHEUR LINADRY,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7101T0127-J01,SYSTEME DE TRAITEMENT SUCRE LIQUIDE (UV),2024-04-29,,2024-04-29,PREV,,,,,,53.34466666666666,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7101T5001-J02,LIGNE CIP,2024-04-29,,2024-04-29,PREV,,,,,,575.8,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7101T8001,BAC STOCKAGE SIROP,2024-04-29,,2024-04-29,PREV,,,,,,68.586,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7103T0291,BAC FORMULATION,2024-04-29,,2024-04-29,PREV,,,,,,91.448,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7103T0339,BAC DESHAIRATEUR,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7202T8002,DECAISSEUSE,2024-04-29,,2024-04-29,PREV,,,,,,575.8,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
