code_stock,designation,nb_composantes_liees,quantite,seuil_alerte,unite,emplacement,description
RE-RO-001,REDUCTEUR DE ROULEAUX DE L'ASCENSEUR,6,0,2,pcs,,
VA-BO-001,VANNE A BOISSEAU SPHERIQUE 3-PCES + ACT. PNEU. DE,6,0,2,pcs,,
MO-CO-001,MOTEUR DE CONVOYEUR SORTIE PALETTES PLEINNES DROITE,6,0,2,pcs,,
GN-EN-003,ENTRAINNEMENT COMPRESSEUR 40 BARS,6,0,2,pcs,,
VA-PA-003,VANNE A PAPILLON INOX + ACT. PNEU. DE,6,0,2,pcs,,
MO-CO-002,MOTEUR DE CONVOYEUR D'ENTREE,6,0,2,pcs,,
GN-BU-001,BUTEE,6,0,2,pcs,,
GN-TR-009,TREMIE ELEVATEUR,6,0,2,pcs,,
CL-SC-001,SECHEUR D'AIR COMPRESSEUR 40 BARS,6,0,2,pcs,,
EL-GN-007,COMPOSANTS ELECTRIQUES FARDELEUSE,6,0,2,pcs,,
EL-GN-008,COMPOSANTS ELECTRIQUES ETIQUETTEUSE,6,0,2,pcs,,
VA-EV-005,ELECTROVANNE DE DEBORDEMENT DU PLATEAU 822B2 VERS 880A,6,0,2,pcs,,
EL-GN-009,COMPOSANTS ELECTRIQUES COMPRESSEUR 40 BARS,6,0,2,pcs,,
RE-C1-001,REDUCTEUR DE C1,6,0,2,pcs,,
MC-CH-002,CHAINE TOURNETTES,6,0,2,pcs,,
PO-VI-003,POMPE A VIDE REMPLISSEUSE,6,0,2,pcs,,
AU-AR-003,ARMOIRE ELECTRIQUE POMPE HF,6,0,2,pcs,,
AU-AR-004,ARMOIRE ELECTRIQUE ET PANEAU DE COMMANDES,6,0,2,pcs,,
GN-CO-004,COMBINATEUR C2,6,0,2,pcs,,
GN-CO-005,COMBINATEUR C1,6,0,2,pcs,,
MC-RL-005,ROULEAUX DE L'ASCENSEUR,6,0,2,pcs,,
AU-CF-001,COFFRET DE COMMANDE,6,0,2,pcs,,
DS-GN-001,DOSEUR,6,0,2,pcs,,
RB-TR-001,TOURELLE D'ENFONCEMENT BOUCHONS,6,0,2,pcs,,
MC-RO-004,ROUE ENTREE / SORTIE ETIQUETTEUSE,6,0,2,pcs,,
GN-CI-002,CIRCUIT D EAU,6,0,2,pcs,,
GN-CI-003,CIRCUIT D'EAU,6,0,2,pcs,,
MC-VS-005,VIS SANS FIN,6,0,2,pcs,,
RB-MN-001,MANIPULATEUR ETIQUETTE,6,0,2,pcs,,
GN-RE-002,RESISTANCES DE CHAUFFE,6,0,2,pcs,,
IN-MN-001,MANOMETRE SORTIE CUVE A FILTRE N°02,6,0,2,pcs,,
HY-RV-003,RESERVOIR D'AIR COMPRESSEUR 40 BARS,6,0,2,pcs,,
GN-MO-003,MODULES CHAUFFE,6,0,2,pcs,,
UT-SY-006,SYSTÈME PHOTOCELLULE,6,0,2,pcs,,
UT-SY-007,SYSTÈME DE REFRIGERATION,6,0,2,pcs,,
UT-SY-008,SYSTÈME DE FILTRATION D'AIR,6,0,2,pcs,,
MO-CO-003,MOTEUR COMPRESSEUR 40 BARS,6,0,2,pcs,,
VL-PN-001,SOUPAPE PNEUMATIQUE GAZ,6,0,2,pcs,,
VA-MA-005,VANNE MANUELLE REMPLISSAGE RESERVOIRE EAUX DE MANOEUVRE,6,0,2,pcs,,
AU-PP-001,PUPITRE,6,0,2,pcs,,
AU-PR-007,AUTOMATE PROGRAMMABLE COMPRESSEUR 40 BARS,6,0,2,pcs,,
GN-DE-004,DEMANDE,6,0,2,pcs,,
UT-SY-009,SYSTEME DE DEPRESSION ROBOT,6,0,2,pcs,,
RE-CO-001,REDUCTEUR DE CONVOYEUR SORTIE PALETTES PLEINNES DROITE,6,0,2,pcs,,
UT-SY-010,SYSTEME DE GUIDAGE,6,0,2,pcs,,
AU-PR-008,AUTOMATE PROGRAMMABLE CONVOYEURS MECANIQUES,6,0,2,pcs,,
CV-GN-002,CONVOYEURS D'ENTREE,6,0,2,pcs,,
RE-CO-002,REDUCTEUR DE CONVOYEUR D'ENTREE,6,0,2,pcs,,
GN-SE-001,SELETTES ETIQUETTEUSE,6,0,2,pcs,,
EL-GN-010,COMPOSANTS ELECTRIQUES SBO,6,0,2,pcs,,
AU-PR-009,AUTOMATE PROGRAMMABLE ETIQUETTEUSE,6,0,2,pcs,,
PO-GN-003,POMPES,6,0,2,pcs,,
GN-PT-001,PARTIE ELECTRIQUE ALIMENTATION POIGEE,6,0,2,pcs,,
VA-MA-006,VANNE MANUELLE SORTIE RESERVOIR EAUX DE MANOEUVRE,6,0,2,pcs,,
CL-SC-002,SECHEUR RESINE,6,0,2,pcs,,
GN-PO-003,PORTES BOBINES FARDELEUSE,6,0,2,pcs,,
GN-CH-001,CHARGEUR ELECTROSTATIQUE,6,0,2,pcs,,
GN-CO-006,COUTEAU  DE COUPE FILM,6,0,2,pcs,,
GN-SE-002,SEPARATION ET NAPPAGE,6,0,2,pcs,,
CV-TR-002,TRANSPORTEUR A BANDE,5,0,2,pcs,,
UT-SY-011,SYSTEME POMPE,5,0,2,pcs,,
AU-MD-001,MODULE DE TRANSFERT,5,0,2,pcs,,
GN-PL-001,PLASTIFICATION,5,0,2,pcs,,
GN-MO-004,MONTE ET BAISSE,5,0,2,pcs,,
GN-MO-005,MONTEE DESCENTE ESCENSEUR,5,0,2,pcs,,
GN-SP-002,SUPPORT ANTI-TORSION,5,0,2,pcs,,
PO-VI-004,POMPE A VIDE NUE,5,0,2,pcs,,
GN-HE-001,HELICE,5,0,2,pcs,,
GN-ST-001,STATIION D INJECTION,5,0,2,pcs,,
GN-PL-002,PLAQUE NOYAU,5,0,2,pcs,,
MO-AS-001,MOTEUR ASYNCHRONE TRIPHASÉ 1,5,0,2,pcs,,
IN-MN-002,MANOMETRE ENTRE CUVE A FILTRE N°02,5,0,2,pcs,,
UT-SY-012,SYSTEME DE REFROIDISSEMENT,5,0,2,pcs,,
EL-GN-011,COMPOSANTS ELECTRIQUES CONVOYEURS MECANIQUES,5,0,2,pcs,,
